Nom gare;Code Gare;Type jour;Annee;Date;Ligne;Axe;Tranche horaire;Montants;COVID
CREIL;87276006;DIM;2021;2021-10-10;H;H;De 10h à 16h;88;Après COVID
CREIL;87276006;SAM;2019;2019-03-23;D;D;Avant 6h;52;Avant COVID
FERRIERES FONTENAY;87684241;DIM;2017;2017-03-12;R;R;De 16h à 20h;13;Avant COVID
GUERARD LA CELLE SUR MORIN;87116269;JOB;2019;2019-03-13;P;P;Après 20h;5;Avant COVID
GARANCIERES LA QUEUE;87393439;SAM;2018;2018-10-20;N;N;De 6h à 10h;32;Avant COVID
CREIL;87276006;JOB;2019;2019-03-26;D;D;;0;Avant COVID
CREIL;87276006;SAM;2021;2021-10-09;H;H;Avant 6h;7;Après COVID
FERRIERES FONTENAY;87684241;JOB;2017;2017-03-07;R;R;De 16h à 20h;5;Avant COVID
GUERARD LA CELLE SUR MORIN;87116269;JOB;2019;2019-03-13;P;P;De 16h à 20h;16;Avant COVID
GARCHES MARNES LA COQUETTE;87382259;DIM;2021;2021-10-10;L;L2;Après 20h;67;Après COVID
CREIL;87276006;JOB;2019;2019-03-26;D;D;Avant 6h;96;Avant COVID
CREIL;87276006;SAM;2021;2021-10-09;H;H;De 16h à 20h;132;Après COVID
FONTAINE LE PORT;87682427;SAM;2017;2017-03-11;R;R;De 16h à 20h;14;Avant COVID
GUERARD LA CELLE SUR MORIN;87116269;SAM;2019;2019-03-15;P;P;Après 20h;1;Avant COVID
GARCHES MARNES LA COQUETTE;87382259;JOB;2021;2021-10-06;L;L2;Avant 6h;16;Après COVID
CREIL;87276006;JOB;2019;2019-03-26;D;D;De 10h à 16h;222;Avant COVID
CREPY EN VALOIS;87271593;DIM;2021;2021-10-10;K;K;De 16h à 20h;69;Après COVID
FONTAINE MICHALON;87758763;JOB;2019;2019-03-28;B;B;De 16h à 20h;102;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;DIM;2016;2016-10-02;E;E;Après 20h;5204;Avant COVID
GARCHES MARNES LA COQUETTE;87382259;SAM;2021;2021-10-09;L;L2;Avant 6h;10;Après COVID
CREIL;87276006;JOB;2019;2019-03-26;D;D;De 16h à 20h;102;Avant COVID
CREPY EN VALOIS;87271593;JOB;2021;2021-10-06;K;K;Après 20h;17;Après COVID
FONTAINE MICHALON;87758763;JOB;2019;2019-03-28;B;B;De 6h à 10h;171;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;JOB;2016;2016-10-04;E;E;De 10h à 16h;14666;Avant COVID
GARE DE MONNERVILLE;87551111;DIM;2017;2017-04-23;C;C;De 10h à 16h;2;Avant COVID
CREIL;87276006;JOB;2021;2021-10-06;H;H;Avant 6h;24;Après COVID
CREPY EN VALOIS;87271593;JOB;2021;2021-10-06;K;K;De 16h à 20h;117;Après COVID
FONTAINEBLEAU AVON;87682211;DIM;2017;2017-03-12;R;R;De 16h à 20h;1836;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;SAM;2016;2016-10-01;E;E;De 16h à 20h;17194;Avant COVID
GARE DE MONNERVILLE;87551111;JOB;2017;2017-04-25;C;C;De 10h à 16h;1;Avant COVID
CREIL;87276006;SAM;2019;2019-03-23;D;D;De 16h à 20h;68;Avant COVID
CRETEIL POMPADOUR;87608802;SAM;2019;2019-03-23;D;D;De 16h à 20h;2398;Avant COVID
FONTAINEBLEAU AVON;87682211;JOB;2017;2017-03-07;R;R;Avant 6h;126;Avant COVID
HERBLAY;87381889;DIM;2021;2021-10-10;J;J6;De 6h à 10h;331;Après COVID
GARGAN;87113860;DIM;2021;2021-09-12;T4;T4;De 6h à 10h;481;Après COVID
CREIL;87276006;SAM;2021;2021-10-09;H;H;De 10h à 16h;124;Après COVID
CROUY SUR OURCQ;87116640;DIM;2019;2019-05-12;P;P;Après 20h;6;Avant COVID
FONTAINEBLEAU AVON;87682211;SAM;2017;2017-03-11;R;R;Avant 6h;50;Avant COVID
HERBLAY;87381889;JOB;2021;2021-10-06;J;J6;Après 20h;168;Après COVID
GARGENVILLE;87381566;DIM;2021;2021-10-10;J;J6;De 6h à 10h;38;Après COVID
CREPY EN VALOIS;87271593;DIM;2021;2021-10-10;K;K;Après 20h;38;Après COVID
CROUY SUR OURCQ;87116640;DIM;2019;2019-05-12;P;P;De 10h à 16h;17;Avant COVID
FONTENAY AUX ROSES;87758714;JOB;2019;2019-03-21;B;B;Après 20h;239;Avant COVID
HERBLAY;87381889;SAM;2021;2021-10-09;J;J6;Avant 6h;29;Après COVID
GARGENVILLE;87381566;JOB;2021;2021-10-06;J;J6;De 6h à 10h;363;Après COVID
CREPY EN VALOIS;87271593;SAM;2021;2021-10-09;K;K;Après 20h;23;Après COVID
CROUY SUR OURCQ;87116640;DIM;2019;2019-05-12;P;P;De 6h à 10h;11;Avant COVID
FONTENAY LE FLEURY;87393405;DIM;2018;2018-10-14;N;N;De 16h à 20h;434;Avant COVID
HOUDAN;87393462;DIM;2018;2018-10-14;N;N;De 6h à 10h;32;Avant COVID
GARGENVILLE;87381566;SAM;2021;2021-10-09;J;J6;De 6h à 10h;100;Après COVID
CREPY EN VALOIS;87271593;SAM;2021;2021-10-09;K;K;De 10h à 16h;84;Après COVID
CROUY SUR OURCQ;87116640;JOB;2019;2019-05-14;P;P;Après 20h;6;Avant COVID
FONTENAY LE FLEURY;87393405;SAM;2018;2018-10-20;N;N;De 10h à 16h;1006;Avant COVID
HOUDAN;87393462;JOB;2018;2018-10-16;N;N;De 10h à 16h;169;Avant COVID
GARGES SARCELLES;87276196;DIM;2019;2019-03-24;D;D;De 6h à 10h;2853;Avant COVID
CRETEIL POMPADOUR;87608802;DIM;2019;2019-03-24;D;D;Après 20h;948;Avant COVID
CROUY SUR OURCQ;87116640;JOB;2019;2019-05-14;P;P;Avant 6h;6;Avant COVID
FONTENAY LE FLEURY;87393405;SAM;2018;2018-10-20;N;N;De 6h à 10h;368;Avant COVID
HOUILLES CARRIERES SUR SEINE;87386409;DIM;2014;2014-05-18;A;A;Après 20h;639;Avant COVID
GARGES SARCELLES;87276196;SAM;2019;2019-03-23;D;D;De 16h à 20h;5445;Avant COVID
CRETEIL POMPADOUR;87608802;DIM;2019;2019-03-24;D;D;De 16h à 20h;2362;Avant COVID
DAMMARTIN JUILLY SAINT-MARD;87271536;DIM;2021;2021-10-10;K;K;De 10h à 16h;15;Après COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;DIM;2017;2017-04-23;C;C;De 16h à 20h;484;Avant COVID
HOUILLES CARRIERES SUR SEINE;87386409;DIM;2014;2014-05-18;A;A;De 6h à 10h;762;Avant COVID
GARGES SARCELLES;87276196;SAM;2019;2019-03-23;D;D;De 6h à 10h;5493;Avant COVID
CRETEIL POMPADOUR;87608802;JOB;2019;2019-03-26;D;D;Avant 6h;0;Avant COVID
DENFERT ROCHEREAU;87758631;JOB;2019;2019-03-21;B;B;De 16h à 20h;10701;Avant COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;DIM;2017;2017-04-23;C;C;De 6h à 10h;234;Avant COVID
HOUILLES CARRIERES SUR SEINE;87386409;DIM;2021;2021-10-10;L;L3;De 6h à 10h;174;Après COVID
GAZERAN;87393348;DIM;2018;2018-10-14;N;N;De 16h à 20h;59;Avant COVID
CRETEIL POMPADOUR;87608802;JOB;2019;2019-03-26;D;D;De 10h à 16h;3127;Avant COVID
DENFERT ROCHEREAU;87758631;JOB;2019;2019-03-28;B;B;De 10h à 16h;6876;Avant COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;DIM;2021;2021-10-10;H;H;Après 20h;93;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;DIM;2021;2021-12-05;J;J5;De 10h à 16h;597;Après COVID
GAZERAN;87393348;JOB;2018;2018-10-16;N;N;Après 20h;6;Avant COVID
CRETEIL POMPADOUR;87608802;SAM;2019;2019-03-23;D;D;De 10h à 16h;4293;Avant COVID
DEUIL MONTMAGNY;87276345;DIM;2021;2021-10-10;H;H;De 16h à 20h;494;Après COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;DIM;2021;2021-10-10;H;H;Avant 6h;31;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;JOB;2021;2021-12-07;J;J5;Après 20h;347;Après COVID
GAZERAN;87393348;JOB;2018;2018-10-16;N;N;De 10h à 16h;38;Avant COVID
CROUY SUR OURCQ;87116640;DIM;2019;2019-05-19;P;P;De 10h à 16h;17;Avant COVID
DEUIL MONTMAGNY;87276345;JOB;2021;2021-10-06;H;H;Après 20h;145;Après COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;JOB;2017;2017-04-25;C;C;De 16h à 20h;621;Avant COVID
HOUILLES CARRIERES SUR SEINE;87386409;JOB;2021;2021-12-07;J;J5;De 10h à 16h;803;Après COVID
GENNEVILLIERS;87271205;DIM;2017;2017-04-23;C;C;Avant 6h;7;Avant COVID
CROUY SUR OURCQ;87116640;JOB;2019;2019-05-14;P;P;De 16h à 20h;44;Avant COVID
DEUIL MONTMAGNY;87276345;JOB;2021;2021-10-06;H;H;Avant 6h;147;Après COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;JOB;2021;2021-10-06;H;H;De 6h à 10h;1895;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;JOB;2021;2021-12-07;J;J5;De 6h à 10h;1604;Après COVID
GENNEVILLIERS;87271205;DIM;2017;2017-04-23;C;C;De 6h à 10h;109;Avant COVID
CROUY SUR OURCQ;87116640;SAM;2019;2019-05-11;P;P;De 16h à 20h;25;Avant COVID
DEUIL MONTMAGNY;87276345;JOB;2021;2021-10-06;H;H;De 6h à 10h;2028;Après COVID
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;SAM;2017;2017-04-22;C;C;De 10h à 16h;946;Avant COVID
HOUILLES CARRIERES SUR SEINE;87386409;SAM;2014;2014-05-17;A;A;Avant 6h;65;Avant COVID
GENNEVILLIERS;87271205;JOB;2017;2017-04-25;C;C;De 10h à 16h;673;Avant COVID
DAMMARTIN JUILLY SAINT-MARD;87271536;DIM;2021;2021-10-10;K;K;De 16h à 20h;48;Après COVID
DOMMERVILLE CREDIT AGRICOLE;87332965;SAM;2017;2017-04-22;C;C;De 10h à 16h;1;Avant COVID
FREPILLON;87276659;DIM;2021;2021-10-10;H;H;Après 20h;7;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;SAM;2014;2014-05-17;A;A;De 6h à 10h;1362;Avant COVID
GENNEVILLIERS;87271205;JOB;2017;2017-04-25;C;C;De 16h à 20h;2008;Avant COVID
DAMMARTIN JUILLY SAINT-MARD;87271536;JOB;2021;2021-10-06;K;K;Après 20h;13;Après COVID
DOMONT;87276436;JOB;2021;2021-10-06;H;H;De 10h à 16h;1040;Après COVID
FREPILLON;87276659;DIM;2021;2021-10-10;H;H;Avant 6h;1;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;SAM;2021;2021-10-09;L;L3;Après 20h;167;Après COVID
GENNEVILLIERS;87271205;SAM;2017;2017-04-22;C;C;De 10h à 16h;703;Avant COVID
DAMMARTIN JUILLY SAINT-MARD;87271536;JOB;2021;2021-10-06;K;K;De 6h à 10h;1274;Après COVID
DOMONT;87276436;JOB;2021;2021-10-06;H;H;De 6h à 10h;1997;Après COVID
FREPILLON;87276659;JOB;2021;2021-10-06;H;H;Avant 6h;16;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;SAM;2021;2021-12-04;J;J5;Après 20h;340;Après COVID
GENTILLY;87758656;JOB;2019;2019-03-28;B;B;De 10h à 16h;284;Avant COVID
DAMMARTIN JUILLY SAINT-MARD;87271536;SAM;2021;2021-10-09;K;K;De 16h à 20h;54;Après COVID
DOMONT;87276436;SAM;2021;2021-10-09;H;H;Après 20h;126;Après COVID
FREPILLON;87276659;SAM;2021;2021-10-09;H;H;Avant 6h;4;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;SAM;2021;2021-12-04;J;J5;De 10h à 16h;723;Après COVID
GENTILLY;87758656;JOB;2019;2019-03-28;B;B;De 6h à 10h;524;Avant COVID
DEUIL MONTMAGNY;87276345;DIM;2021;2021-10-10;H;H;Avant 6h;28;Après COVID
DOMONT;87276436;SAM;2021;2021-10-09;H;H;De 10h à 16h;757;Après COVID
FREPILLON;87276659;SAM;2021;2021-10-09;H;H;De 16h à 20h;56;Après COVID
HOUILLES CARRIERES SUR SEINE;87386409;SAM;2021;2021-12-04;J;J5;De 16h à 20h;697;Après COVID
GIF SUR YVETTE;87758870;JOB;2019;2019-03-21;B;B;De 10h à 16h;643;Avant COVID
DEUIL MONTMAGNY;87276345;DIM;2021;2021-10-10;H;H;De 10h à 16h;859;Après COVID
DOMONT;87276436;SAM;2021;2021-10-09;H;H;De 16h à 20h;353;Après COVID
GAGNY;87113514;DIM;2016;2016-10-02;E;E;Après 20h;368;Avant COVID
HÔPITAL DE MONTFERMEIL;87704338;SAM;2021;2021-09-11;T4;T4;De 16h à 20h;327;Après COVID
GIF SUR YVETTE;87758870;JOB;2019;2019-03-21;B;B;De 6h à 10h;1410;Avant COVID
DEUIL MONTMAGNY;87276345;DIM;2021;2021-10-10;H;H;De 6h à 10h;301;Après COVID
DORDIVES;87684233;DIM;2017;2017-03-12;R;R;Après 20h;4;Avant COVID
GAGNY;87113514;JOB;2016;2016-10-04;E;E;Après 20h;396;Avant COVID
IGNY;87393561;JOB;2017;2017-04-25;C;C;De 6h à 10h;401;Avant COVID
GISORS;87381244;SAM;2021;2021-10-09;J;J6;De 10h à 16h;98;Après COVID
DEUIL MONTMAGNY;87276345;SAM;2021;2021-10-09;H;H;Après 20h;200;Après COVID
DORDIVES;87684233;JOB;2017;2017-03-07;R;R;Après 20h;3;Avant COVID
GAGNY;87113514;JOB;2016;2016-10-04;E;E;De 10h à 16h;1755;Avant COVID
IGNY;87393561;SAM;2017;2017-04-22;C;C;De 10h à 16h;143;Avant COVID
GISORS;87381244;SAM;2021;2021-10-09;J;J6;De 16h à 20h;69;Après COVID
DOMMERVILLE CREDIT AGRICOLE;87332965;JOB;2017;2017-04-25;C;C;De 10h à 16h;4;Avant COVID
DORDIVES;87684233;JOB;2017;2017-03-07;R;R;Avant 6h;19;Avant COVID
GAGNY;87113514;SAM;2016;2016-10-01;E;E;Avant 6h;83;Avant COVID
INVALIDES;87393033;DIM;2017;2017-04-23;C;C;Après 20h;1046;Avant COVID
GOUSSAINVILLE;87276246;DIM;2019;2019-03-24;D;D;De 16h à 20h;1603;Avant COVID
DOMMERVILLE CREDIT AGRICOLE;87332965;SAM;2017;2017-04-22;C;C;De 6h à 10h;2;Avant COVID
DORDIVES;87684233;SAM;2017;2017-03-11;R;R;Après 20h;5;Avant COVID
GAGNY;87113514;SAM;2016;2016-10-01;E;E;De 6h à 10h;955;Avant COVID
INVALIDES;87393033;DIM;2017;2017-04-23;C;C;De 10h à 16h;5513;Avant COVID
GRAND BOURG;87681353;DIM;2019;2019-03-24;D;D;Après 20h;23;Avant COVID
DOMONT;87276436;DIM;2021;2021-10-10;H;H;De 6h à 10h;212;Après COVID
DOURDAN;87545525;DIM;2017;2017-04-23;C;C;De 6h à 10h;125;Avant COVID
GARANCIERES LA QUEUE;87393439;DIM;2018;2018-10-14;N;N;De 16h à 20h;102;Avant COVID
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;Après 20h;1744;Avant COVID
GRAND BOURG;87681353;DIM;2019;2019-03-24;D;D;Avant 6h;3;Avant COVID
DOMONT;87276436;JOB;2021;2021-10-06;H;H;Avant 6h;118;Après COVID
DOURDAN;87545525;SAM;2017;2017-04-22;C;C;Après 20h;59;Avant COVID
GARANCIERES LA QUEUE;87393439;JOB;2018;2018-10-16;N;N;De 10h à 16h;57;Avant COVID
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;De 10h à 16h;4635;Avant COVID
GRAVIGNY BALIZY;87393645;DIM;2017;2017-04-23;C;C;Avant 6h;4;Avant COVID
DOMONT;87276436;SAM;2021;2021-10-09;H;H;De 6h à 10h;401;Après COVID
DOURDAN LA FORET;87540179;DIM;2017;2017-04-23;C;C;De 10h à 16h;0;Avant COVID
GARCHES MARNES LA COQUETTE;87382259;DIM;2021;2021-10-10;L;L2;Avant 6h;6;Après COVID
INVALIDES;87393033;JOB;2017;2017-04-25;C;C;De 6h à 10h;3983;Avant COVID
GRAVIGNY BALIZY;87393645;DIM;2017;2017-04-23;C;C;De 16h à 20h;71;Avant COVID
DORDIVES;87684233;DIM;2017;2017-03-12;R;R;De 16h à 20h;23;Avant COVID
DRANCY;87271403;DIM;2019;2019-03-17;B;B;Après 20h;584;Avant COVID
GARCHES MARNES LA COQUETTE;87382259;SAM;2021;2021-10-09;L;L2;De 16h à 20h;475;Après COVID
INVALIDES;87393033;SAM;2017;2017-04-22;C;C;De 10h à 16h;5333;Avant COVID
GRAVIGNY BALIZY;87393645;JOB;2017;2017-04-25;C;C;Après 20h;15;Avant COVID
DORDIVES;87684233;JOB;2017;2017-03-07;R;R;De 10h à 16h;38;Avant COVID
DRANCY;87271403;JOB;2019;2019-03-21;B;B;De 10h à 16h;567;Avant COVID
GARCHES MARNES LA COQUETTE;87382259;SAM;2021;2021-10-09;L;L2;De 6h à 10h;202;Après COVID
INVALIDES;87393033;SAM;2017;2017-04-22;C;C;De 16h à 20h;4525;Avant COVID
GRAVIGNY BALIZY;87393645;JOB;2017;2017-04-25;C;C;De 10h à 16h;183;Avant COVID
DORDIVES;87684233;SAM;2017;2017-03-11;R;R;De 10h à 16h;38;Avant COVID
DRANCY;87271403;SAM;2019;2019-03-16;B;B;De 10h à 16h;3610;Avant COVID
GARE DE MONNERVILLE;87551111;JOB;2017;2017-04-25;C;C;Avant 6h;0;Avant COVID
ISLES ARMENTIERES CONGIS;87116616;JOB;2019;2019-05-14;P;P;Après 20h;5;Avant COVID
GRAVIGNY BALIZY;87393645;SAM;2017;2017-04-22;C;C;De 16h à 20h;82;Avant COVID
DORDIVES;87684233;SAM;2017;2017-03-11;R;R;De 16h à 20h;31;Avant COVID
DREUX;87393488;JOB;2018;2018-10-16;N;N;De 16h à 20h;116;Avant COVID
GARE DE MONNERVILLE;87551111;SAM;2017;2017-04-22;C;C;De 10h à 16h;4;Avant COVID
ISLES ARMENTIERES CONGIS;87116616;SAM;2019;2019-05-11;P;P;Avant 6h;0;Avant COVID
GRETZ ARMAINVILLIERS;87116012;DIM;2016;2016-10-02;E;E;De 10h à 16h;245;Avant COVID
DOURDAN;87545525;DIM;2017;2017-04-23;C;C;Après 20h;75;Avant COVID
DREUX;87393488;JOB;2018;2018-10-16;N;N;De 6h à 10h;1037;Avant COVID
GARGAN;87113860;DIM;2021;2021-09-12;T4;T4;De 16h à 20h;1063;Après COVID
ISLES ARMENTIERES CONGIS;87116616;SAM;2019;2019-05-11;P;P;De 6h à 10h;28;Avant COVID
GRETZ ARMAINVILLIERS;87116012;JOB;2016;2016-10-04;E;E;De 10h à 16h;323;Avant COVID
DOURDAN;87545525;DIM;2017;2017-04-23;C;C;De 16h à 20h;278;Avant COVID
DREUX;87393488;SAM;2018;2018-10-20;N;N;Avant 6h;67;Avant COVID
GARGAN;87113860;JOB;2021;2021-09-21;T4;T4;Après 20h;435;Après COVID
ISSOU PORCHEVILLE;87381574;DIM;2021;2021-10-10;J;J6;Après 20h;11;Après COVID
GRETZ ARMAINVILLIERS;87116012;SAM;2016;2016-10-01;E;E;Après 20h;58;Avant COVID
DOURDAN;87545525;JOB;2017;2017-04-25;C;C;De 16h à 20h;335;Avant COVID
DREUX;87393488;SAM;2018;2018-10-20;N;N;De 10h à 16h;322;Avant COVID
GARGAN;87113860;SAM;2021;2021-09-11;T4;T4;De 10h à 16h;1733;Après COVID
ISSOU PORCHEVILLE;87381574;JOB;2021;2021-10-06;J;J6;Avant 6h;18;Après COVID
GRETZ ARMAINVILLIERS;87116012;SAM;2016;2016-10-01;E;E;Avant 6h;34;Avant COVID
DOURDAN;87545525;JOB;2017;2017-04-25;C;C;De 6h à 10h;651;Avant COVID
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;JOB;2021;2021-11-23;T11;T11;Après 20h;77;Après COVID
GARGAN;87113860;SAM;2021;2021-09-11;T4;T4;De 16h à 20h;1256;Après COVID
ISSY;87393074;JOB;2017;2017-04-25;C;C;Après 20h;195;Avant COVID
GROS NOYER SAINT-PRIX;87276592;DIM;2021;2021-10-10;H;H;Après 20h;85;Après COVID
DOURDAN LA FORET;87540179;JOB;2017;2017-04-25;C;C;De 10h à 16h;292;Avant COVID
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;JOB;2021;2021-11-23;T11;T11;De 10h à 16h;348;Après COVID
GARGES SARCELLES;87276196;DIM;2019;2019-03-24;D;D;De 16h à 20h;5442;Avant COVID
ISSY;87393074;JOB;2017;2017-04-25;C;C;Avant 6h;37;Avant COVID
GROS NOYER SAINT-PRIX;87276592;DIM;2021;2021-10-10;H;H;De 10h à 16h;459;Après COVID
DOURDAN LA FORET;87540179;JOB;2017;2017-04-25;C;C;De 16h à 20h;386;Avant COVID
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;JOB;2021;2021-11-23;T11;T11;De 16h à 20h;464;Après COVID
GARGES SARCELLES;87276196;JOB;2019;2019-03-26;D;D;Avant 6h;1083;Avant COVID
ISSY VAL DE SEINE;87393306;DIM;2017;2017-04-23;C;C;Avant 6h;6;Avant COVID
GROS NOYER SAINT-PRIX;87276592;DIM;2021;2021-10-10;H;H;De 16h à 20h;291;Après COVID
DOURDAN LA FORET;87540179;JOB;2017;2017-04-25;C;C;De 6h à 10h;27;Avant COVID
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;SAM;2021;2021-11-20;T11;T11;Avant 6h;17;Après COVID
GAZERAN;87393348;DIM;2018;2018-10-14;N;N;Après 20h;30;Avant COVID
ISSY VAL DE SEINE;87393306;DIM;2017;2017-04-23;C;C;De 10h à 16h;785;Avant COVID
GROS NOYER SAINT-PRIX;87276592;JOB;2021;2021-10-06;H;H;De 16h à 20h;516;Après COVID
DOURDAN LA FORET;87540179;SAM;2017;2017-04-22;C;C;De 6h à 10h;2;Avant COVID
ECOUEN EZANVILLE;87276394;JOB;2021;2021-10-06;H;H;De 10h à 16h;564;Après COVID
GAZERAN;87393348;JOB;2018;2018-10-16;N;N;De 16h à 20h;44;Avant COVID
IVRY SUR SEINE;87545301;DIM;2017;2017-04-23;C;C;De 16h à 20h;721;Avant COVID
GROS NOYER SAINT-PRIX;87276592;SAM;2021;2021-10-09;H;H;De 16h à 20h;319;Après COVID
DRANCY;87271403;JOB;2019;2019-03-28;B;B;Avant 6h;720;Avant COVID
ECOUEN EZANVILLE;87276394;SAM;2021;2021-10-09;H;H;Après 20h;90;Après COVID
GAZERAN;87393348;JOB;2018;2018-10-16;N;N;De 6h à 10h;450;Avant COVID
IVRY SUR SEINE;87545301;JOB;2017;2017-04-25;C;C;De 10h à 16h;1878;Avant COVID
GROSLAY;87276360;DIM;2021;2021-10-10;H;H;De 10h à 16h;440;Après COVID
DRANCY;87271403;SAM;2019;2019-03-16;B;B;Après 20h;851;Avant COVID
ECOUEN EZANVILLE;87276394;SAM;2021;2021-10-09;H;H;De 10h à 16h;528;Après COVID
GAZERAN;87393348;SAM;2018;2018-10-20;N;N;De 10h à 16h;55;Avant COVID
IVRY SUR SEINE;87545301;SAM;2017;2017-04-22;C;C;Avant 6h;124;Avant COVID
GROSLAY;87276360;JOB;2021;2021-10-06;H;H;De 10h à 16h;540;Après COVID
DRANCY;87271403;SAM;2019;2019-03-16;B;B;Avant 6h;390;Avant COVID
EGLY;87545475;JOB;2017;2017-04-25;C;C;Avant 6h;33;Avant COVID
GENNEVILLIERS;87271205;DIM;2017;2017-04-23;C;C;De 10h à 16h;521;Avant COVID
JAVEL;87393066;DIM;2017;2017-04-23;C;C;Après 20h;218;Avant COVID
GUERARD LA CELLE SUR MORIN;87116269;JOB;2019;2019-03-13;P;P;De 10h à 16h;22;Avant COVID
DRANCY;87271403;SAM;2019;2019-03-16;B;B;De 16h à 20h;1858;Avant COVID
EGLY;87545475;SAM;2017;2017-04-22;C;C;Après 20h;27;Avant COVID
GENNEVILLIERS;87271205;JOB;2017;2017-04-25;C;C;Après 20h;198;Avant COVID
JAVEL;87393066;DIM;2017;2017-04-23;C;C;De 16h à 20h;663;Avant COVID
GUERARD LA CELLE SUR MORIN;87116269;SAM;2019;2019-03-15;P;P;De 10h à 16h;29;Avant COVID
DREUX;87393488;SAM;2018;2018-10-20;N;N;De 16h à 20h;157;Avant COVID
EGLY;87545475;SAM;2017;2017-04-22;C;C;De 6h à 10h;77;Avant COVID
GENNEVILLIERS;87271205;SAM;2017;2017-04-22;C;C;Après 20h;227;Avant COVID
JAVEL;87393066;DIM;2017;2017-04-23;C;C;De 6h à 10h;260;Avant COVID
GUILLERVAL;87545129;DIM;2017;2017-04-23;C;C;De 16h à 20h;5;Avant COVID
DREUX;87393488;SAM;2018;2018-10-20;N;N;De 6h à 10h;209;Avant COVID
EMERAINVILLE PONTAULT COMBAULT;87116046;DIM;2016;2016-10-02;E;E;De 10h à 16h;1131;Avant COVID
GENNEVILLIERS;87271205;SAM;2017;2017-04-22;C;C;Avant 6h;22;Avant COVID
JAVEL;87393066;JOB;2017;2017-04-25;C;C;Avant 6h;22;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;JOB;2016;2016-10-04;E;E;Après 20h;10651;Avant COVID
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;DIM;2021;2021-11-21;T11;T11;De 10h à 16h;302;Après COVID
EMERAINVILLE PONTAULT COMBAULT;87116046;DIM;2016;2016-10-02;E;E;De 16h à 20h;753;Avant COVID
GENNEVILLIERS;87271205;SAM;2017;2017-04-22;C;C;De 6h à 10h;244;Avant COVID
JOUFFROY TOCQUEVILLE;87881111;SAM;2017;2017-04-22;C;C;De 10h à 16h;13;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;JOB;2016;2016-10-04;E;E;De 16h à 20h;45752;Avant COVID
DUGNY LA COURNEUVE TRAM 11 EXPRESS;87697342;SAM;2021;2021-11-20;T11;T11;De 16h à 20h;203;Après COVID
EMERAINVILLE PONTAULT COMBAULT;87116046;DIM;2016;2016-10-02;E;E;De 6h à 10h;386;Avant COVID
GIF SUR YVETTE;87758870;JOB;2019;2019-03-21;B;B;Après 20h;95;Avant COVID
JOUY EN JOSAS;87393512;JOB;2017;2017-04-25;C;C;Après 20h;46;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;SAM;2016;2016-10-01;E;E;Avant 6h;234;Avant COVID
ECOUEN EZANVILLE;87276394;DIM;2021;2021-10-10;H;H;Avant 6h;17;Après COVID
EMERAINVILLE PONTAULT COMBAULT;87116046;SAM;2016;2016-10-01;E;E;Avant 6h;67;Avant COVID
GIF SUR YVETTE;87758870;JOB;2019;2019-03-21;B;B;Avant 6h;39;Avant COVID
JOUY EN JOSAS;87393512;JOB;2017;2017-04-25;C;C;Avant 6h;4;Avant COVID
HAUSSMANN SAINT-LAZARE;87281899;SAM;2016;2016-10-01;E;E;De 10h à 16h;15048;Avant COVID
ECOUEN EZANVILLE;87276394;DIM;2021;2021-10-10;H;H;De 10h à 16h;380;Après COVID
EMERAINVILLE PONTAULT COMBAULT;87116046;SAM;2016;2016-10-01;E;E;De 10h à 16h;1579;Avant COVID
GIF SUR YVETTE;87758870;JOB;2019;2019-03-28;B;B;De 6h à 10h;122;Avant COVID
JOUY EN JOSAS;87393512;SAM;2017;2017-04-22;C;C;De 16h à 20h;159;Avant COVID
HERBLAY;87381889;DIM;2021;2021-10-10;J;J6;De 16h à 20h;505;Après COVID
